timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707148250435,56,HTTP Request,200,OK,Thread Group 1-328,text,true,,1993,118,703,703,https://www.daraz.com.bd/,56,0,0
1707148250436,58,HTTP Request,200,OK,Thread Group 1-2288,text,true,,1951,118,702,702,https://www.daraz.com.bd/,58,0,0
1707148230610,19885,HTTP Request,200,OK,Thread Group 1-2821,text,true,,1933,118,701,701,https://www.daraz.com.bd/,19885,0,19827
1707148250457,57,HTTP Request,200,OK,Thread Group 1-2516,text,true,,1957,118,701,701,https://www.daraz.com.bd/,57,0,0
1707148229480,21053,HTTP Request,200,OK,Thread Group 1-190,text,true,,1933,118,700,700,https://www.daraz.com.bd/,21053,0,20994
1707148250478,55,HTTP Request,200,OK,Thread Group 1-2490,text,true,,1981,118,700,700,https://www.daraz.com.bd/,55,0,0
1707148229670,20864,HTTP Request,200,OK,Thread Group 1-1075,text,true,,1981,118,699,699,https://www.daraz.com.bd/,20864,0,20808
1707148250478,56,HTTP Request,200,OK,Thread Group 1-2409,text,true,,1975,118,699,699,https://www.daraz.com.bd/,56,0,0
1707148230595,19938,HTTP Request,200,OK,Thread Group 1-2542,text,true,,1963,118,698,698,https://www.daraz.com.bd/,19938,0,19881
1707148230658,19877,HTTP Request,200,OK,Thread Group 1-2383,text,true,,1969,118,698,698,https://www.daraz.com.bd/,19877,0,19820
1707148250485,54,HTTP Request,200,OK,Thread Group 1-1765,text,true,,1975,118,698,698,https://www.daraz.com.bd/,54,0,0
1707148250490,56,HTTP Request,200,OK,Thread Group 1-2593,text,true,,1963,118,697,697,https://www.daraz.com.bd/,56,0,0
1707148250497,57,HTTP Request,200,OK,Thread Group 1-2821,text,true,,1933,118,696,696,https://www.daraz.com.bd/,57,0,0
1707148229893,20671,HTTP Request,200,OK,Thread Group 1-2129,text,true,,1999,118,695,695,https://www.daraz.com.bd/,20671,0,20614
1707148250533,54,HTTP Request,200,OK,Thread Group 1-190,text,true,,1957,118,695,695,https://www.daraz.com.bd/,54,0,0
1707148250534,56,HTTP Request,200,OK,Thread Group 1-1075,text,true,,1969,118,694,694,https://www.daraz.com.bd/,56,0,0
1707148229658,20932,HTTP Request,200,OK,Thread Group 1-1012,text,true,,1969,118,694,694,https://www.daraz.com.bd/,20932,0,20876
1707148250535,57,HTTP Request,200,OK,Thread Group 1-2542,text,true,,2017,118,693,693,https://www.daraz.com.bd/,57,0,0
1707148250537,59,HTTP Request,200,OK,Thread Group 1-2383,text,true,,1963,118,692,692,https://www.daraz.com.bd/,59,0,0
1707148250564,56,HTTP Request,200,OK,Thread Group 1-2129,text,true,,1963,118,691,691,https://www.daraz.com.bd/,56,0,0
1707148229715,20914,HTTP Request,200,OK,Thread Group 1-1286,text,true,,1969,118,690,690,https://www.daraz.com.bd/,20914,0,20856
1707148229777,20852,HTTP Request,200,OK,Thread Group 1-1821,text,true,,1981,118,690,690,https://www.daraz.com.bd/,20852,0,20794
1707148229733,20905,HTTP Request,200,OK,Thread Group 1-1420,text,true,,1945,118,690,690,https://www.daraz.com.bd/,20905,0,20848
1707148229524,21115,HTTP Request,200,OK,Thread Group 1-397,text,true,,1969,118,690,690,https://www.daraz.com.bd/,21114,0,21057
1707148230617,20020,HTTP Request,200,OK,Thread Group 1-2940,text,true,,1939,118,690,690,https://www.daraz.com.bd/,20020,0,19962
1707148229675,20964,HTTP Request,200,OK,Thread Group 1-1105,text,true,,1951,118,690,690,https://www.daraz.com.bd/,20964,0,20907
1707148230575,20062,HTTP Request,200,OK,Thread Group 1-2202,text,true,,1957,118,690,690,https://www.daraz.com.bd/,20062,0,20008
1707148229890,20753,HTTP Request,200,OK,Thread Group 1-2125,text,true,,1987,118,690,690,https://www.daraz.com.bd/,20753,0,20697
1707148229730,20913,HTTP Request,200,OK,Thread Group 1-1390,text,true,,1951,118,690,690,https://www.daraz.com.bd/,20913,0,20857
